Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8934974189657,Mùa Hè Không Tên - Bìa Cứng - Tặng Kèm Bookmark 2 Mặt + Poster Tranh + Lót Ly Ngẫu Nhiên + Chữ Ký Tác Giả Ngẫu Nhiên,362,230.000 đ,Nguyễn Nhật Ánh,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/mua-he-khong-ten-bia-cung-tang-kem-bookmark-2-mat-poster-tranh-lot-ly-ngau-nhien.html,292
8934974161677,Cánh Đồng Bất Tận (Tái Bản 2019),198,85.000 đ,Nguyễn Ngọc Tư,N/A,N/A,2021,No,Bìa Mềm,4.95/5 (0 đánh giá),Văn Học,https://www.fahasa.com/canh-dong-bat-tan-tai-ban-2019.html,220
8935325015106,Ghi Chép Pháp Y - Tập 2 - Khi Tử Thi Biết Nói,1.5k,125.000 đ,Liêu Tiểu Đao,Linh Tử,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ghi-chep-phap-y-tap-2-khi-tu-thi-biet-noi.html,232
8935325016561,Cuối Con Đường Sẽ Gặp Một Người Thương - Tặng Kèm Bookmark,384,108.000 đ,Trí,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/cuoi-con-duong-se-gap-mot-nguoi-thuong-tang-kem-bookmark.html,264
8935235234338,Nhật Ký Đặng Thùy Trâm (Tái Bản 2022),591,90.000 đ,Đặng Thùy Trâm,N/A,N/A,2022,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nhat-ky-dang-thuy-tram-tai-ban-2022.html,296
8935352614570,Thám Tử Lừng Danh Conan - Tiểu Thuyết - Ngôi Sao 5 Cánh 1 Triệu Đô,865,55.000 đ,"Gosho Aoyama, Takahiro Okura, Shima Mizuki",Thu Hằng,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tham-tu-lung-danh-conan-tieu-thuyet-ngoi-sao-5-canh-1-trieu-do.html,216
8935352618523,[Light Novel] Chúa Tể Bóng Tối - Tập 4 - Bản Giới Hạn - Tặng Kèm Thẻ Nhân Vật + Tranh Bình Phong,514,128.000 đ,"Daisuke Aizawa, Touzai",Tanpopo Team,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/light-novel-chua-te-bong-toi-tap-4-ban-gioi-han-tang-kem-the-nhan-vat-tranh-binh-phong.html,438
8935352602645,Thiên Sứ Nhà Bên - Tập 8 - Tặng Kèm Bookmark,204,95.000 đ,"Saekisan, Hanekoto",Trân Trân,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/thien-su-nha-ben-tap-8-tang-kem-bookmark.html,348
8935235220508,Sự Im Lặng Của Bầy Cừu (Tái Bản 2019),330,115.000 đ,Thomas Harris,Phạm Hồng Anh,N/A,2019,No,Bìa Mềm,4.75/5 (0 đánh giá),Văn Học,https://www.fahasa.com/su-im-lang-cua-bay-cuu-tai-ban-2019.html,359
8936214273010,Capy Và Những Người Bạn,815,68.000 đ,Little Rainbow,N/A,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/capy-va-nhung-nguoi-ban.html,64
8935212358279,Tết Ở Làng Địa Ngục,605,169.000 đ,Thảo Trang,N/A,Tiếng Việt,2022,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tet-o-lang-dia-nguc.html,544
8935235240292,Trăm Năm Cô Đơn (Tái Bản 2023),653,199.000 đ,Gabriel Garcia Márquez,"Nguyễn Trung Đức, Phạm Đình Lợi, Nguyễn Quốc Dũng",N/A,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tram-nam-co-don-tai-ban-2023.html,492
8934974164135,Làm Bạn Với Bầu Trời - Tặng Kèm Khung Hình Xinh Xắn,388,110.000 đ,Nguyễn Nhật Ánh,N/A,N/A,2019,No,Bìa Mềm,4.45/5 (0 đánh giá),Văn Học,https://www.fahasa.com/lam-ban-voi-bau-troi.html,220
8936203364910,Bố Già - Ấn Bản Kỉ Niệm 55 Năm Xuất Bản Lần Đầu - Tặng Kèm Bookmark,128,200.000 đ,"Mario Puzo, Art Werger",Nguyễn Minh,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/bo-gia-an-ban-ki-niem-55-nam-xuat-ban-lan-dau-tang-kem-bookmark.html,652
8935352616772,Chung Một Mái Nhà - Tập 2 - Bản Giới Hạn - Tặng Kèm Set 2 Bookmark + Shikishi 2 Mặt,446,105.000 đ,"Ghost Mikawa, Hiten",KouEi,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/chung-mot-mai-nha-tap-2-ban-gioi-han-tang-kem-set-2-bookmark-shikishi-2-mat.html,316
8935280916883,Tố Thư,154,400.000 đ,Hoàng Thạch Công,Tâm An,Tiếng Việt,2024,No,N/A,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/to-thu.html,476
8935352609972,Doraemon - Tiểu Thuyết - Nobita Và Bản Giao Hưởng Địa Cầu,957,60.000 đ,"Fujiko F Fujio , Teruko Utsumi, Kazuaki Imai",Thu Hằng,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/doraemon-tieu-thuyet-nobita-va-ban-giao-huong-dia-cau.html,228
