Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8934974161677,Cánh Đồng Bất Tận (Tái Bản 2019),198,85000,Nguyễn Ngọc Tư,Nguyễn Ngọc Tư,Tiếng Việt,2021-01-01,0,Bìa Mềm,4.95,Văn Học,https://www.fahasa.com/canh-dong-bat-tan-tai-ban-2019.html,220.0
8935325015106,Ghi Chép Pháp Y - Tập 2 - Khi Tử Thi Biết Nói,1500,125000,Liêu Tiểu Đao,Linh Tử,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ghi-chep-phap-y-tap-2-khi-tu-thi-biet-noi.html,232.0
8935325016561,Cuối Con Đường Sẽ Gặp Một Người Thương - Tặng Kèm Bookmark,384,108000,Trí,Trí,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/cuoi-con-duong-se-gap-mot-nguoi-thuong-tang-kem-bookmark.html,264.0
8935235234338,Nhật Ký Đặng Thùy Trâm (Tái Bản 2022),591,90000,Đặng Thùy Trâm,Đặng Thùy Trâm,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/nhat-ky-dang-thuy-tram-tai-ban-2022.html,296.0
8935352614570,Thám Tử Lừng Danh Conan - Tiểu Thuyết - Ngôi Sao 5 Cánh 1 Triệu Đô,865,55000,"Gosho Aoyama, Takahiro Okura, Shima Mizuki",Thu Hằng,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/tham-tu-lung-danh-conan-tieu-thuyet-ngoi-sao-5-canh-1-trieu-do.html,216.0
8935352618523,[Light Novel] Chúa Tể Bóng Tối - Tập 4 - Bản Giới Hạn - Tặng Kèm Thẻ Nhân Vật + Tranh Bình Phong,514,128000,"Daisuke Aizawa, Touzai",Tanpopo Team,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/light-novel-chua-te-bong-toi-tap-4-ban-gioi-han-tang-kem-the-nhan-vat-tranh-binh-phong.html,438.0
8935352602645,Thiên Sứ Nhà Bên - Tập 8 - Tặng Kèm Bookmark,204,95000,"Saekisan, Hanekoto",Trân Trân,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/thien-su-nha-ben-tap-8-tang-kem-bookmark.html,348.0
8935235220508,Sự Im Lặng Của Bầy Cừu (Tái Bản 2019),330,115000,Thomas Harris,Phạm Hồng Anh,Tiếng Việt,2019-01-01,0,Bìa Mềm,4.75,Văn Học,https://www.fahasa.com/su-im-lang-cua-bay-cuu-tai-ban-2019.html,359.0
8936214273010,Capy Và Những Người Bạn,815,68000,Little Rainbow,Little Rainbow,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/capy-va-nhung-nguoi-ban.html,64.0
8935212358279,Tết Ở Làng Địa Ngục,605,169000,Thảo Trang,Thảo Trang,Tiếng Việt,2022-01-01,0,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/tet-o-lang-dia-nguc.html,544.0
8935235240292,Trăm Năm Cô Đơn (Tái Bản 2023),653,199000,Gabriel Garcia Márquez,"Nguyễn Trung Đức, Phạm Đình Lợi, Nguyễn Quốc Dũng",Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/tram-nam-co-don-tai-ban-2023.html,492.0
8934974164135,Làm Bạn Với Bầu Trời - Tặng Kèm Khung Hình Xinh Xắn,388,110000,Nguyễn Nhật Ánh,Nguyễn Nhật Ánh,Tiếng Việt,2019-01-01,0,Bìa Mềm,4.45,Văn Học,https://www.fahasa.com/lam-ban-voi-bau-troi.html,220.0
8936203364910,Bố Già - Ấn Bản Kỉ Niệm 55 Năm Xuất Bản Lần Đầu - Tặng Kèm Bookmark,128,200000,"Mario Puzo, Art Werger",Nguyễn Minh,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/bo-gia-an-ban-ki-niem-55-nam-xuat-ban-lan-dau-tang-kem-bookmark.html,652.0
8935352616772,Chung Một Mái Nhà - Tập 2 - Bản Giới Hạn - Tặng Kèm Set 2 Bookmark + Shikishi 2 Mặt,446,105000,"Ghost Mikawa, Hiten",KouEi,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/chung-mot-mai-nha-tap-2-ban-gioi-han-tang-kem-set-2-bookmark-shikishi-2-mat.html,316.0
8935280916883,Tố Thư,154,400000,Hoàng Thạch Công,Tâm An,Tiếng Việt,2024-01-01,0,Bìa mềm,0.0,Văn Học,https://www.fahasa.com/to-thu.html,476.0
8935352609972,Doraemon - Tiểu Thuyết - Nobita Và Bản Giao Hưởng Địa Cầu,957,60000,"Fujiko F Fujio , Teruko Utsumi, Kazuaki Imai",Thu Hằng,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/doraemon-tieu-thuyet-nobita-va-ban-giao-huong-dia-cau.html,228.0
8935235243293,Bản Chất Của Người (Tái Bản 2024),284,129000,Han Kang,Kim Ngân,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ban-chat-cua-nguoi-tai-ban-2024.html,350.0
8935244874488,Circe,205,200000,Madeline Miller,Jack Frogg,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/circe-406138.html,528.0
8936213491057,17 Âm 1,217,169000,Doo Vandenis,Doo Vandenis,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/17-am-1.html,316.0
8935095633869,Jane Eyre (Tái Bản 2024),242,225000,Charlotte Bronte,Trần Anh Kim,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/jane-eyre-tai-ban-2024.html,763.0
8934974176213,Vừa Nhắm Mắt Vừa Mở Cửa Số (Tái Bản 2022),382,75000,Nguyễn Ngọc Thuần,Nguyễn Ngọc Thuần,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/vua-nham-mat-vua-mo-cua-so-390814.html,192.0
8935244876970,Thiên Sứ Nhà Bên - Tập 4 - Tặng Kèm Bookmark,196,95000,"Saekisan, Hanekoto",Trân Trân,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/thien-su-nha-ben-tap-4-tang-kem-bookmark.html,316.0
8935244872972,Thiên Sứ Nhà Bên - Tập 3,157,95000,"Saekisan, Hanekoto",Trân Trân,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/thien-su-nha-ben-tap-3.html,316.0
